additional_properties,id,name,type,tags,kind,billing_account_id,billing_account_name,billing_period_start_date,billing_period_end_date,billing_profile_id,billing_profile_name,account_owner_id,account_name,subscription_id,subscription_name,date,product,part_number,meter_id,meter_details,quantity,effective_price,cost,unit_price,billing_currency,resource_location,consumed_service,resource_id,resource_name,service_info1,service_info2,additional_info,invoice_section,cost_center,resource_group,reservation_id,reservation_name,product_order_id,product_order_name,offer_id,is_azure_credit_eligible,term,publisher_name,publisher_type,plan_name,charge_type,frequency,UsageType,ImageType,ServiceType,VMName,VMProperties,VCPUs,CPUs,StorageService,ResourceType,PipelineType,DataTransferDirection,DataCenter,NetworkBucket,ContainerId,CRPVMId,UsageResourceKind,EmittingService,AHB,vCores,SLO,UniqueResourceId,ResourceCategory
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/2ef0910d-771b-59e0-6cef-6d3ffa97ef7f,2ef0910d-771b-59e0-6cef-6d3ffa97ef7f,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-18,None,None,27827eb0-7f60-4928-940b-f5fe15e7a4cb,None,3.0,0.021082,0.063246,0.0,EUR,EU West,Microsoft.Network,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/wvd-lab/providers/Microsoft.Network/loadBalancers/aadds-a62b1af9a4e14dff8435a539bd5bffa9-lb,aadds-a62b1af9a4e14dff8435a539bd5bffa9-lb,None,None,None,None,None,wvd-lab,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/545bb1c1-3431-2319-48a9-ac6c72f8c3b9,545bb1c1-3431-2319-48a9-ac6c72f8c3b9,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-18,None,None,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,None,0.0018,0.000303,5.454e-07,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb1003bffda469397b,csb1003bffda469397b,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/3d9605a1-8145-fea4-6d0a-e4860328452f,3d9605a1-8145-fea4-6d0a-e4860328452f,Microsoft.Consumption/usageDetails,"{'creationSource': 'vmssclient-aks-workers-31266840-vmss', 'orchestrator': 'Kubernetes:1.19.9', 'poolName': 'workers', 'resourceNameSuffix': '31266840'}",legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,None,5.7e-05,0.016866,9.61362e-07,0.0,EUR,EU West,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE/providers/Microsoft.Compute/virtualMachineScaleSets/aks-workers-31266840-vmss,aks-workers-31266840-vmss,None,None,"{  ""ResourceType"": ""Bandwidth"",  ""UsageResourceKind"": ""DataTrOut:Linux_IaaS_Canonical|Standard_B2s|c7a1714f-79f5-4727-8d40-65170c14f0cb|7e236fd5-f25e-48f3-8922-f47a38fc4b5c:Linux:Running"",  ""DataCenter"": ""AM4"",  ""NetworkBucket"": ""DB3"",  ""PipelineType"": ""v2_late""}",None,None,MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,Bandwidth,v2_late,,AM4,DB3,,,DataTrOut:Linux_IaaS_Canonical|Standard_B2s|c7a1714f-79f5-4727-8d40-65170c14f0cb|7e236fd5-f25e-48f3-8922-f47a38fc4b5c:Linux:Running,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/eb5740f3-968a-ea81-223e-dc10adee32e1,eb5740f3-968a-ea81-223e-dc10adee32e1,Microsoft.Consumption/usageDetails,"{'ClusterName': '', 'CreationTimestamp': '2021-05-19 14:34:17 +0000 UTC', 'Namespace': 'default', 'NodeName': 'virtual-node-aci-linux', 'PodName': 'nginx-579756f489-w27cf', 'UID': 'a8be4e00-42e0-491e-a5a3-7cbba37d30c2'}",legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,455a4865-255c-4eb4-857c-ed04b0b47ab1,None,0.274314658111111,0.039297,0.010779743119792,0.0,EUR,EU West,Microsoft.ContainerInstance,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_formation-kubernetes-aks_ilkilabsxx_westeurope/providers/Microsoft.ContainerInstance/containerGroups/default-nginx-579756f489-w27cf,default-nginx-579756f489-w27cf,None,None,None,None,None,MC_formation-kubernetes-aks_ilkilabsxx_westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/3d9605a1-8145-fea4-6d0a-e4860328452f,3d9605a1-8145-fea4-6d0a-e4860328452f,Microsoft.Consumption/usageDetails,"{'creationSource': 'vmssclient-aks-workers-31266840-vmss', 'orchestrator': 'Kubernetes:1.19.9', 'poolName': 'workers', 'resourceNameSuffix': '31266840'}",legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,None,6.7e-05,0.016866,1.130022e-06,0.0,EUR,EU West,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE/providers/Microsoft.Compute/virtualMachineScaleSets/aks-workers-31266840-vmss,aks-workers-31266840-vmss,None,None,"{  ""ResourceType"": ""Bandwidth"",  ""UsageResourceKind"": ""DataTrOut:Linux_IaaS_Canonical|Standard_B2s|c7a1714f-79f5-4727-8d40-65170c14f0cb|56b5278e-3e2e-4126-8e0f-e10e6644822a:Linux:Running"",  ""DataCenter"": ""AMS07"",  ""NetworkBucket"": ""DB3"",  ""PipelineType"": ""v2_late""}",None,None,MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,Bandwidth,v2_late,,AMS07,DB3,,,DataTrOut:Linux_IaaS_Canonical|Standard_B2s|c7a1714f-79f5-4727-8d40-65170c14f0cb|56b5278e-3e2e-4126-8e0f-e10e6644822a:Linux:Running,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/0ddda689-2b48-3d5c-12a3-94a489e4f9dc,0ddda689-2b48-3d5c-12a3-94a489e4f9dc,Microsoft.Consumption/usageDetails,"{'creationSource': 'vmssclient-aks-workers-31266840-vmss', 'orchestrator': 'Kubernetes:1.19.9', 'poolName': 'workers', 'resourceNameSuffix': '31266840'}",legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,137d3f72-fe0e-4a78-b5d0-92d704aa3cac,None,0.001344,18.282744,0.024572007936,0.0,EUR,EU West,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE/providers/Microsoft.Compute/disks/aks-workers-31266840aks-workers-31266840-OS__1_d796a27741c54b9a96ea4fade03bca0e,aks-workers-31266840aks-workers-31266840-OS__1_d796a27741c54b9a96ea4fade03bca0e,None,None,None,None,None,MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/12efa4a3-18de-59a8-ae9f-103d88552f23,12efa4a3-18de-59a8-ae9f-103d88552f23,Microsoft.Consumption/usageDetails,"{'createOperationID': '9f77fcd5-14a1-482f-a038-813a0792b1e8', 'creationSource': 'vmssclient-aks-workers-96293425-vmss', 'orchestrator': 'Kubernetes:1.19.9', 'poolName': 'workers', 'resourceNameSuffix': '96293425'}",legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,None,0.001908,0.016866,3.2180328e-05,0.0,EUR,EU West,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_FORMATION-KUBERNETES-AKS_ILKILABXX_WESTEUROPE/providers/Microsoft.Compute/virtualMachineScaleSets/aks-workers-96293425-vmss,aks-workers-96293425-vmss,None,None,"{  ""ResourceType"": ""Bandwidth"",  ""UsageResourceKind"": ""DataTrOut:Linux_IaaS_Canonical|Standard_B2s|c7a1714f-79f5-4727-8d40-65170c14f0cb|60417213-3a25-4aa0-96b0-9879fd6b8ad2:Linux:Running"",  ""DataCenter"": ""AMS08"",  ""NetworkBucket"": ""DB3"",  ""PipelineType"": ""v2_late""}",None,None,MC_FORMATION-KUBERNETES-AKS_ILKILABXX_WESTEUROPE,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,Bandwidth,v2_late,,AMS08,DB3,,,DataTrOut:Linux_IaaS_Canonical|Standard_B2s|c7a1714f-79f5-4727-8d40-65170c14f0cb|60417213-3a25-4aa0-96b0-9879fd6b8ad2:Linux:Running,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/cc26fc94-d0ba-1416-b570-f85a99a16efd,cc26fc94-d0ba-1416-b570-f85a99a16efd,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-20,None,None,559511c2-b12c-485e-aff5-df87cb96db89,None,0.032256,8.905248,0.287247679488,0.0,EUR,FR Central,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VEEAMBACKUPFORO365/providers/Microsoft.Compute/disks/VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,None,None,None,None,None,VEEAMBACKUPFORO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/71cccc3a-966e-3f71-431e-8b5454c174e4,71cccc3a-966e-3f71-431e-8b5454c174e4,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,3e3981ec-a567-4790-9b06-484295b9b3dc,None,0.0006,0.003626,2.1756e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb10037ffe9f617530,csb10037ffe9f617530,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/7f9e3219-dd00-df52-e79c-2e3ae4dcaad5,7f9e3219-dd00-df52-e79c-2e3ae4dcaad5,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-20,None,None,4e17851a-a733-4d2f-91ce-4cabf5963024,None,0.0002,0.045538,9.1076e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb10037ffe9f617530,csb10037ffe9f617530,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/f8f38d62-af0d-6c70-6127-cc395668ab5d,f8f38d62-af0d-6c70-6127-cc395668ab5d,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,6551548b-7e61-4f51-896e-eb907d256b95,None,0.016129032258048,8.433,0.136016129032119,0.0,EUR,FR Central,Microsoft.RecoveryServices,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/armtest/providers/Microsoft.RecoveryServices/vaults/vault688,vault688,None,None,None,None,None,armtest,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/1b76cd0a-a668-b375-1c07-87290e7b6146,1b76cd0a-a668-b375-1c07-87290e7b6146,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-20,None,None,3e3981ec-a567-4790-9b06-484295b9b3dc,None,0.0006,0.003626,2.1756e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb1003bffda469397b,csb1003bffda469397b,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/68a1049f-af6b-c98c-6e81-ef48c873ee66,68a1049f-af6b-c98c-6e81-ef48c873ee66,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-20,None,None,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,None,0.0154,0.000303,4.6662e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb1003bffda469397b,csb1003bffda469397b,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/5f0360de-ca2f-31fb-ccc2-fa26968d64e5,5f0360de-ca2f-31fb-ccc2-fa26968d64e5,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,27827eb0-7f60-4928-940b-f5fe15e7a4cb,None,8.31666666666667,0.021082,0.175331966666667,0.0,EUR,EU West,Microsoft.Network,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_formation-kubernetes-aks_ilkilabsxx_westeurope/providers/Microsoft.Network/loadBalancers/kubernetes,kubernetes,None,None,None,None,None,MC_formation-kubernetes-aks_ilkilabsxx_westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/ca6e95df-1a92-c71e-1b04-3226bd0347d6,ca6e95df-1a92-c71e-1b04-3226bd0347d6,Microsoft.Consumption/usageDetails,"{'ClusterName': '', 'CreationTimestamp': '2021-05-19 09:58:13 +0000 UTC', 'Namespace': 'default', 'NodeName': 'virtual-node-aci-linux', 'PodName': 'nginx-579756f489-st2hq', 'UID': 'a71ce39c-a53f-4148-87d0-5cfbfc1ceaeb'}",legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,455a4865-255c-4eb4-857c-ed04b0b47ab1,None,0.058092050555556,0.039297,0.002282843310682,0.0,EUR,EU West,Microsoft.ContainerInstance,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_formation-kubernetes-aks_ilkilabsxx_westeurope/providers/Microsoft.ContainerInstance/containerGroups/default-nginx-579756f489-st2hq,default-nginx-579756f489-st2hq,None,None,None,None,None,MC_formation-kubernetes-aks_ilkilabsxx_westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/144547da-8800-ce92-8af8-3d6786756ff3,144547da-8800-ce92-8af8-3d6786756ff3,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-20,None,None,7b151095-7766-483d-8f07-8b19f3595a14,None,96.0,0.00226,0.21696,0.0,EUR,Unassigned,KubernetesService,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Security/pricings/KubernetesService,KubernetesService,None,None,None,None,None,Microsoft.Security,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/07efa52b-df3a-262b-a799-be9f7668a741,07efa52b-df3a-262b-a799-be9f7668a741,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-18,None,None,82cd70ab-1aee-4b30-bc04-8b71e1204dbc,None,0.0564,0.000421,2.37444e-05,0.0,EUR,FR Central,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/ARMTEST/providers/Microsoft.Compute/disks/backuptest_OsDisk_1_e7dce1998ab845948a4673e5a0c1a5fe,backuptest_OsDisk_1_e7dce1998ab845948a4673e5a0c1a5fe,None,None,None,None,None,ARMTEST,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/9facadc2-668e-cff2-0db2-82969093f640,9facadc2-668e-cff2-0db2-82969093f640,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-21,None,None,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,None,0.01344,0.050598,0.00068003712,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb1003bffda469397b,csb1003bffda469397b,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/2e38d40c-039b-c914-fc92-6459e7f2250b,2e38d40c-039b-c914-fc92-6459e7f2250b,Microsoft.Consumption/usageDetails,{'ms-resource-usage': 'azure-cloud-shell'},legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,3e3981ec-a567-4790-9b06-484295b9b3dc,None,0.0006,0.003626,2.1756e-06,0.0,EUR,EU West,Microsoft.Storage,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/cloud-shell-storage-westeurope/providers/Microsoft.Storage/storageAccounts/csb10030000892feb3e,csb10030000892feb3e,None,None,None,None,None,cloud-shell-storage-westeurope,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/268a30c9-16e7-e3eb-b185-7d5399a3a1d9,268a30c9-16e7-e3eb-b185-7d5399a3a1d9,Microsoft.Consumption/usageDetails,"{'creationSource': 'vmssclient-aks-workers-31266840-vmss', 'orchestrator': 'Kubernetes:1.19.9', 'poolName': 'workers', 'resourceNameSuffix': '31266840'}",legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-19,None,None,15a6938e-e86b-4b1b-9a76-7cce5581553a,None,0.216671,0.040478,0.008770408738,0.0,EUR,EU West,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE/providers/Microsoft.Compute/virtualMachineScaleSets/aks-workers-31266840-vmss,aks-workers-31266840-vmss,None,None,"{  ""UsageType"": ""ComputeHR"",  ""ImageType"": ""Canonical"",  ""ServiceType"": ""Standard_B2s"",  ""VMName"": ""aks-workers-31266840-vmss_4"",  ""VMProperties"": ""Microsoft.AKS.Compute.AKS.Linux.Billing"",  ""VCPUs"": 2,  ""CPUs"": 0}",None,None,MC_FORMATION-KUBERNETES-AKS_ILKILABSXX_WESTEUROPE,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,ComputeHR,Canonical,Standard_B2s,aks-workers-31266840-vmss_4,Microsoft.AKS.Compute.AKS.Linux.Billing,2,0,,,,,,,,,,,,,,,
{},/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/providers/Microsoft.Billing/billingPeriods/202106/providers/Microsoft.Consumption/usageDetails/1f98854a-1601-503a-fedc-cbe3069739a1,1f98854a-1601-503a-fedc-cbe3069739a1,Microsoft.Consumption/usageDetails,None,legacy,None,None,2021-05-19,2021-06-18,/subscriptions/C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,None,None,C7A1714F-79F5-4727-8D40-65170C14F0CB,Microsoft Partner Network,2021-05-18,None,None,559511c2-b12c-485e-aff5-df87cb96db89,None,0.002688,8.905248,0.023937306624,0.0,EUR,FR Central,Microsoft.Compute,/subscriptions/c7a1714f-79f5-4727-8d40-65170c14f0cb/resourceGroups/VEEAMBACKUPFORO365/providers/Microsoft.Compute/disks/VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,VBO365Server_OsDisk_1_6e45bb8652c04c95a49a440ff78014bd,None,None,None,None,None,VEEAMBACKUPFORO365,None,None,None,None,MS-AZR-0025P,False,None,None,Azure,None,Usage,UsageBased,,,,,,,,,,,,,,,,,,,,,,
